period,net_revenue,staff_cost,sales_and_marketing,ebitda,net_profit,total_asset,cash_flow,current_asset,current_liability,equity
2012-03,1399511,-51070,-23400,943847,567700,5222459,284416,3472870,2642736,1649842
2012-06,1470092,-51741,-77417,914060,550598,5865108,301254,4085349,2688515,2177187
2012-09,1551627,-55882,-61567,995908,590684,7742677,393231,4440829,4653355,2072459
2012-12,1616181,-57350,-78385,837771,621859,10037189,431155,6338629,4627457,2286107
2013-03,1523519,-54768,-54733,858475,632435,10147446,420071,6416612,4553051,2445500
2013-06,1619761,-65239,-50462,873905,633921,11511037,429665,7581201,5660528,2468101
2013-09,1737513,-71468,-46168,930184,691531,12145788,469239,8127315,5755959,2957115
2013-12,1853450,-75816,-104590,912661,722790,13310582,423062,9104461,6363961,3331879
2014-03,1817689,-83680,-67384,1001428,805879,13245413,376237,9040291,6237105,3466686
2014-06,1840726,-87646,-58093,955509,796941,13460114,431439,9210057,6418189,3497115
2014-09,1938463,-98757,-69235,957321,820508,13863947,462826,9293736,6122419,3962924
2014-12,2128700,-100983,-92858,924607,805606,18679674,3998721,12681733,10267544,4324400
2015-03,2351764,-106490,-55041,1186571,926166,28082543,1080587,11015926,11532514,8514710
2015-06,2795781,-115562,-70345,1355764,907556,28004623,1208278,11092204,7489508,8956634
2015-09,2918057,-119467,-52373,1361543,918542,29121524,1273521,11549115,6377498,9783080
2015-12,3056712,-123035,-66068,1329634,899170,29977801,1249524,12675854,8063955,10163966
2016-03,3047898,-126452,-61048,1407643,1038255,29063026,1660525,12060600,6539774,11069453
2016-06,3069024,-135159,-85596,1349034,1029704,27848506,1228552,11094686,6695495,11546278
2016-09,3063368,-127129,-87890,1382531,1051472,28953480,2193569,12210799,6906662,12353991
2016-12,3120494,-137391,-85878,1395941,1064066,30544070,2658956,13743400,7852780,12902990
2017-03,2801303,-139702,-38054,1322134,1045834,30937206,4396044,14337250,7396206,13750614
2017-06,2831013,-133428,-45596,1279570,1040492,63503618,2755711,63503618,57267115,14329088
2017-09,2930793,-124305,-55165,1297847,1070056,77682585,5218738,61320277,52867571,14460129
2017-12,3037232,-125050,-50152,1378314,1108247,88347182,6024197,71933612,62597366,15360945
2018-03,2784684,-126217,-31548,1242788,1056991,83007046,5987774,66723693,57411562,15162283
2018-06,2927300,-142400,-93700,1147200,870300,80526665,4439172,64060197,53993257,15604395
2018-09,2962300,-139300,-67200,1152900,851900,82427885,4282660,65780248,56350804,15021490
2018-12,3011600,-163800,-83200,1091900,780200,82630921,2874424,65967300,56802838,14870096
2019-03,2773100,-187400,-33900,820700,589300,83166339,3675407,68612547,59505856,12696832
2019-06,2799300,-181900,-154900,748700,480500,86768628,2916758,72241288,61694838,12719132
2019-09,2799800,-182200,-122800,724300,408400,86994737,2937471,72512448,63575622,12956404
2019-12,2975100,-165500,-166400,376300,307800,91892254,3255437,77545367,68402837,13139680
2020-03,2830900,-194600,-91700,573800,202600,83807833,5841693,69268536,60012779,12908067